id,data,voto,clube,sexo,idade
0,2015-01-01,Concorda,SSPCOR,Masculino,69
1,2015-01-01,Concorda,Palmeiras,Masculino,49
2,2015-01-01,Concorda,Palmeiras,Feminino,64
3,2015-01-01,Concorda,SSPCOR,Masculino,58
4,2015-01-01,Concorda,Outro,Masculino,62
5,2015-01-01,Não sabe,Outro,Feminino,74
6,2015-01-01,Concorda,Palmeiras,Masculino,35
7,2015-01-01,Concorda,SSPCOR,Masculino,51
8,2015-01-01,Concorda,Palmeiras,Masculino,82
9,2015-01-01,Concorda,Palmeiras,Masculino,67
10,2015-01-01,Não sabe,Outro,Feminino,21
11,2015-01-01,Concorda,SSPCOR,Masculino,54
12,2015-01-01,Discorda,SSPCOR,Feminino,30
13,2015-01-01,Concorda,SSPCOR,Feminino,53
14,2015-01-01,Não sabe,Outro,Masculino,82
15,2015-01-01,Concorda,SSPCOR,Feminino,85
16,2015-01-01,Concorda,Palmeiras,Masculino,67
17,2015-01-01,Não sabe,Outro,Masculino,71
18,2015-01-01,Discorda,Outro,Masculino,68
19,2015-01-01,Concorda,Palmeiras,Masculino,48
20,2015-01-01,Não sabe,Outro,Feminino,41
21,2015-01-01,Não sabe,Outro,Masculino,82
22,2015-01-01,Concorda,SSPCOR,Masculino,52
23,2015-01-01,Não sabe,Outro,Feminino,58
24,2015-01-01,Concorda,Palmeiras,Masculino,32
25,2015-01-01,Concorda,Palmeiras,Masculino,52
26,2015-01-01,Concorda,Outro,Masculino,23
27,2015-01-01,Não sabe,Outro,Feminino,79
28,2015-01-01,Concorda,Outro,Masculino,26
29,2015-01-01,Concorda,Palmeiras,Masculino,23
30,2015-01-01,Concorda,SSPCOR,Feminino,38
31,2015-01-01,Não sabe,Outro,Feminino,51
32,2015-01-01,Concorda,SSPCOR,Masculino,82
33,2015-01-01,Concorda,SSPCOR,Masculino,22
34,2015-01-01,Não sabe,Outro,Feminino,30
35,2015-01-01,Discorda,SSPCOR,Feminino,54
36,2015-01-01,Não sabe,Outro,Feminino,80
37,2015-01-01,Concorda,Palmeiras,Masculino,33
38,2015-01-01,Não sabe,Outro,Feminino,80
39,2015-01-01,Não sabe,Palmeiras,Feminino,62
40,2015-01-01,Concorda,Outro,Masculino,32
41,2015-01-02,Concorda,SSPCOR,Feminino,36
42,2015-01-02,Concorda,SSPCOR,Feminino,47
43,2015-01-02,Não sabe,Palmeiras,Feminino,77
44,2015-01-02,Concorda,SSPCOR,Feminino,48
45,2015-01-02,Concorda,Outro,Masculino,46
46,2015-01-02,Não sabe,Outro,Feminino,24
47,2015-01-02,Concorda,Outro,Masculino,55
48,2015-01-02,Não sabe,Outro,Feminino,57
49,2015-01-02,Concorda,SSPCOR,Masculino,32
50,2015-01-02,Não sabe,Outro,Feminino,23
51,2015-01-02,Concorda,SSPCOR,Feminino,50
52,2015-01-02,Concorda,Outro,Masculino,27
53,2015-01-02,Discorda,SSPCOR,Feminino,74
54,2015-01-02,Concorda,Palmeiras,Masculino,54
55,2015-01-02,Não sabe,Outro,Feminino,58
56,2015-01-02,Concorda,Palmeiras,Masculino,16
57,2015-01-02,Concorda,Palmeiras,Masculino,49
58,2015-01-02,Concorda,Outro,Masculino,23
59,2015-01-02,Não sabe,Outro,Feminino,19
60,2015-01-02,Não sabe,Outro,Feminino,69
61,2015-01-02,Não sabe,Outro,Feminino,16
62,2015-01-02,Concorda,SSPCOR,Feminino,78
63,2015-01-02,Não sabe,Outro,Feminino,22
64,2015-01-02,Concorda,SSPCOR,Masculino,83
65,2015-01-02,Concorda,SSPCOR,Masculino,69
66,2015-01-02,Concorda,Palmeiras,Masculino,34
67,2015-01-02,Discorda,SSPCOR,Masculino,35
68,2015-01-02,Concorda,Palmeiras,Masculino,68
69,2015-01-02,Não sabe,Outro,Feminino,19
70,2015-01-02,Concorda,SSPCOR,Feminino,23
71,2015-01-02,Discorda,SSPCOR,Feminino,25
72,2015-01-03,Não sabe,Outro,Feminino,28
73,2015-01-03,Não sabe,Outro,Feminino,28
74,2015-01-03,Não sabe,Outro,Masculino,82
75,2015-01-03,Concorda,Palmeiras,Masculino,31
76,2015-01-03,Não sabe,Outro,Feminino,84
77,2015-01-03,Concorda,Outro,Masculino,32
78,2015-01-03,Concorda,Outro,Masculino,37
79,2015-01-03,Concorda,Palmeiras,Masculino,42
80,2015-01-03,Concorda,Outro,Masculino,26
81,2015-01-03,Concorda,Outro,Masculino,31
82,2015-01-03,Concorda,Palmeiras,Masculino,54
83,2015-01-03,Não sabe,Outro,Feminino,44
84,2015-01-03,Não sabe,Outro,Feminino,66
85,2015-01-03,Concorda,SSPCOR,Masculino,60
86,2015-01-03,Não sabe,Outro,Masculino,80
87,2015-01-03,Concorda,SSPCOR,Feminino,26
88,2015-01-03,Não sabe,Outro,Feminino,50
89,2015-01-03,Concorda,SSPCOR,Feminino,49
90,2015-01-03,Discorda,SSPCOR,Masculino,59
91,2015-01-03,Concorda,SSPCOR,Feminino,74
92,2015-01-03,Concorda,Outro,Masculino,63
93,2015-01-03,Concorda,SSPCOR,Feminino,16
94,2015-01-03,Não sabe,Outro,Masculino,85
95,2015-01-03,Concorda,SSPCOR,Masculino,28
96,2015-01-03,Concorda,Palmeiras,Masculino,46
97,2015-01-03,Concorda,SSPCOR,Masculino,53
98,2015-01-03,Concorda,Outro,Masculino,45
99,2015-01-03,Concorda,Outro,Masculino,42
100,2015-01-03,Concorda,Palmeiras,Masculino,54
101,2015-01-03,Concorda,Palmeiras,Masculino,19
102,2015-01-03,Concorda,Palmeiras,Feminino,71
103,2015-01-04,Concorda,SSPCOR,Feminino,81
104,2015-01-04,Concorda,SSPCOR,Masculino,29
105,2015-01-04,Concorda,SSPCOR,Feminino,59
106,2015-01-04,Concorda,Palmeiras,Masculino,45
107,2015-01-04,Concorda,Outro,Masculino,18
108,2015-01-04,Concorda,SSPCOR,Feminino,44
109,2015-01-04,Concorda,SSPCOR,Masculino,27
110,2015-01-04,Concorda,SSPCOR,Feminino,31
111,2015-01-04,Não sabe,Outro,Feminino,31
112,2015-01-04,Concorda,SSPCOR,Feminino,73
113,2015-01-04,Concorda,Outro,Masculino,50
114,2015-01-04,Concorda,SSPCOR,Masculino,79
115,2015-01-04,Concorda,Outro,Masculino,53
116,2015-01-04,Não sabe,Outro,Masculino,73
117,2015-01-04,Concorda,Palmeiras,Masculino,24
118,2015-01-04,Concorda,SSPCOR,Feminino,33
119,2015-01-04,Concorda,Outro,Masculino,71
120,2015-01-04,Concorda,Palmeiras,Masculino,39
121,2015-01-04,Concorda,SSPCOR,Masculino,40
122,2015-01-04,Concorda,Outro,Masculino,39
123,2015-01-04,Concorda,Palmeiras,Masculino,77
124,2015-01-04,Não sabe,Outro,Masculino,84
125,2015-01-04,Concorda,Outro,Masculino,28
126,2015-01-04,Concorda,Palmeiras,Masculino,74
127,2015-01-04,Não sabe,Outro,Feminino,78
128,2015-01-04,Concorda,Outro,Masculino,64
129,2015-01-04,Não sabe,Outro,Feminino,73
130,2015-01-04,Concorda,Palmeiras,Feminino,63
131,2015-01-04,Concorda,SSPCOR,Masculino,76
132,2015-01-04,Não sabe,Outro,Feminino,48
133,2015-01-04,Concorda,SSPCOR,Masculino,48
134,2015-01-04,Não sabe,Outro,Feminino,26
135,2015-01-04,Concorda,SSPCOR,Feminino,52
136,2015-01-04,Concorda,SSPCOR,Feminino,69
137,2015-01-04,Concorda,Outro,Masculino,42
138,2015-01-04,Não sabe,Outro,Feminino,28
139,2015-01-05,Não sabe,Outro,Feminino,57
140,2015-01-05,Concorda,Palmeiras,Feminino,75
141,2015-01-05,Não sabe,Outro,Feminino,30
142,2015-01-05,Concorda,Outro,Masculino,54
143,2015-01-05,Concorda,Palmeiras,Feminino,80
144,2015-01-05,Concorda,Outro,Masculino,52
145,2015-01-05,Não sabe,Outro,Masculino,65
146,2015-01-05,Concorda,SSPCOR,Feminino,24
147,2015-01-05,Não sabe,Outro,Masculino,75
148,2015-01-05,Concorda,Outro,Masculino,50
149,2015-01-05,Concorda,SSPCOR,Feminino,66
150,2015-01-05,Não sabe,Outro,Masculino,66
151,2015-01-05,Não sabe,Outro,Feminino,51
152,2015-01-05,Não sabe,Outro,Feminino,34
153,2015-01-05,Concorda,Outro,Masculino,28
154,2015-01-05,Concorda,Palmeiras,Feminino,85
155,2015-01-05,Não sabe,Outro,Feminino,59
156,2015-01-05,Concorda,SSPCOR,Feminino,36
157,2015-01-05,Concorda,Palmeiras,Feminino,27
158,2015-01-05,Concorda,SSPCOR,Feminino,31
159,2015-01-05,Não sabe,SSPCOR,Feminino,81
160,2015-01-05,Concorda,SSPCOR,Masculino,20
161,2015-01-05,Não sabe,Outro,Feminino,36
162,2015-01-05,Concorda,Palmeiras,Masculino,57
163,2015-01-05,Concorda,SSPCOR,Masculino,79
164,2015-01-05,Concorda,Palmeiras,Feminino,45
165,2015-01-05,Não sabe,Outro,Feminino,19
166,2015-01-05,Concorda,Palmeiras,Feminino,76
167,2015-01-05,Concorda,Outro,Masculino,60
168,2015-01-05,Não sabe,Outro,Feminino,33
169,2015-01-05,Concorda,SSPCOR,Masculino,65
170,2015-01-06,Não sabe,Outro,Feminino,61
171,2015-01-06,Concorda,SSPCOR,Feminino,61
172,2015-01-06,Concorda,SSPCOR,Feminino,18
173,2015-01-06,Concorda,SSPCOR,Feminino,57
174,2015-01-06,Concorda,SSPCOR,Masculino,74
175,2015-01-06,Não sabe,Outro,Feminino,22
176,2015-01-06,Concorda,SSPCOR,Masculino,60
177,2015-01-06,Concorda,SSPCOR,Feminino,16
178,2015-01-06,Não sabe,Outro,Feminino,79
179,2015-01-06,Não sabe,Outro,Feminino,16
180,2015-01-06,Concorda,SSPCOR,Feminino,26
181,2015-01-06,Concorda,SSPCOR,Feminino,31
182,2015-01-06,Concorda,Outro,Masculino,30
183,2015-01-06,Concorda,Palmeiras,Masculino,52
184,2015-01-06,Não sabe,Outro,Feminino,41
185,2015-01-06,Concorda,SSPCOR,Feminino,76
186,2015-01-06,Discorda,Palmeiras,Feminino,71
